# VoIP rates (dollars per minute): from http://www.cheapvoipinc.com/Ratesheet-grey.csv
dialprefix,destination,rateinitial
1264772,Anguilla Mobile,0.2194
6721,Antarctica,0.3304
1268,Antigua And Barbuda,0.1894
1268464,Antigua And Barbuda Mobile,0.2147
1268716,Antigua And Barbuda Mobile,0.2147
1268717,Antigua And Barbuda Mobile,0.2147
1268718,Antigua And Barbuda Mobile,0.2147
1268719,Antigua And Barbuda Mobile,0.2147
126872,Antigua And Barbuda Mobile,0.2147
1268732,Antigua And Barbuda Mobile,0.2147
1268734,Antigua And Barbuda Mobile,0.2147
1268736,Antigua And Barbuda Mobile,0.2147
1268764,Antigua And Barbuda Mobile,0.2147
1268770,Antigua And Barbuda Mobile,0.2147
1268771,Antigua And Barbuda Mobile,0.2147
1268772,Antigua And Barbuda Mobile,0.2147
1268773,Antigua And Barbuda Mobile,0.2147
1268774,Antigua And Barbuda Mobile,0.2147
1268775,Antigua And Barbuda Mobile,0.2147
1268776,Antigua And Barbuda Mobile,0.2147
1268778,Antigua And Barbuda Mobile,0.2147
1268779,Antigua And Barbuda Mobile,0.2147
1268780,Antigua and Barbuda - Mobile,0.2074
1268781,Antigua and Barbuda - Mobile,0.2074
1268782,Antigua and Barbuda - Mobile,0.2074
1268783,Antigua and Barbuda - Mobile,0.2074
1268784,Antigua and Barbuda - Mobile,0.2074
1268785,Antigua and Barbuda - Mobile,0.2074
1268786,Antigua and Barbuda - Mobile,0.2074
1268788,Antigua and Barbuda - Mobile,0.2074
1268789,Antigua and Barbuda - Mobile,0.2074
54,Argentina,0.0209
5411,Argentina Buenos Aires,0.0064
54221,Argentina Corridor,0.0114
54223,Argentina Corridor,0.0114
542293,Argentina - Fixed Corridor,0.0121
54230,Argentina Corridor,0.0114
54232,Argentina Corridor,0.0114
54236,Argentina Corridor,0.0114
54237,Argentina - Fixed Corridor,0.0121
54249,Argentina Corridor,0.0114
54261,Argentina Corridor,0.0114
54264,Argentina - Fixed Corridor,0.0121
54291,Argentina Corridor,0.0114
54299,Argentina Corridor,0.0114
54336,Argentina - Fixed Corridor,0.0121
54341,Argentina Corridor,0.0114
54342,Argentina Corridor,0.0114
54343,Argentina - Fixed Corridor,0.0121
543461,Argentina - Fixed Corridor,0.0121
543462,Argentina - Fixed Corridor,0.0121
543476,Argentina - Fixed Corridor,0.0121
54348,Argentina - Fixed Corridor,0.0076
54351,Argentina Corridor,0.0114
543541,Argentina - Fixed Corridor,0.0076
543571,Argentina Corridor,0.0114
54358,Argentina - Fixed Corridor,0.0076
54362,Argentina - Fixed Corridor,0.0121
54379,Argentina - Fixed Corridor,0.0121
54381,Argentina Corridor,0.0114
54387,Argentina - Fixed Corridor,0.0076
549,Argentina Mobile,0.0701
374,Armenia,0.1762
3744,Armenia - Fixed Nagorno Karabakh,0.1018
37410,Armenia Yerevan,0.175
37477,Armenia Mobile,0.2226
3749,Armenia Mobile,0.2226
37491,Armenia Mobile ArmenTel,0.2305
37496,Armenia Mobile ArmenTel,0.2305
37499,Armenia Mobile ArmenTel,0.2305
37497,Armenia Mobile Karabakh Telecom,0.1525
37455,Armenia Mobile Orange,0.2184
37495,Armenia Mobile Orange,0.2184
297,Aruba,0.082
297630,Aruba Mobile Digicel,0.1893
297640,Aruba Mobile Digicel,0.1893
297641,Aruba Mobile Digicel,0.1893
29773,Aruba Mobile Digicel,0.1893
29774,Aruba Mobile Digicel,0.1893
29756,Aruba Mobile,0.1916
29759,Aruba Mobile,0.1916
297600,Aruba Mobile,0.1916
297622,Aruba Mobile,0.1916
29766,Aruba Mobile,0.1916
29769,Aruba Mobile,0.1916
297995,Aruba - Mobile Others,0.1895
247,Ascension,0.518
61,Australia,0.0145
61261,Australia City Group,0.0131
61262,Australia City Group,0.0131
6128,Australia City Group,0.0131
6129,Australia City Group,0.0131
6138,Australia City Group,0.0131
6139,Australia City Group,0.0131
6173,Australia City Group,0.0131
61860,Australia City Group,0.0131
61861,Australia City Group,0.0131
61862,Australia City Group,0.0131
61863,Australia City Group,0.0131
61864,Australia City Group,0.0131
61865,Australia City Group,0.0131
61870,Australia City Group,0.0131
61871,Australia City Group,0.0131
61872,Australia City Group,0.0131
61873,Australia City Group,0.0131
61874,Australia City Group,0.0131
61881,Australia City Group,0.0131
61882,Australia City Group,0.0131
61883,Australia City Group,0.0131
61884,Australia City Group,0.0131
61892,Australia City Group,0.0131
61893,Australia City Group,0.0131
61894,Australia City Group,0.0131
61425,Australia Mobile Vodafone,0.0424
61430,Australia Mobile Vodafone,0.0424
61433,Australia Mobile Vodafone,0.0424
61401,Australia Mobile Optus,0.0429
61402,Australia Mobile Optus,0.0429
61403,Australia Mobile Optus,0.0429
61411,Australia Mobile Optus,0.0429
61412,Australia Mobile Optus,0.0429
61413,Australia Mobile Optus,0.0429
61421,Australia Mobile Optus,0.0429
61422,Australia Mobile Optus,0.0429
61423,Australia Mobile Optus,0.0429
61431,Australia Mobile Optus,0.0429
61432,Australia Mobile Optus,0.0429
61434,Australia Mobile Optus,0.0429
61435,Australia Mobile Optus,0.0429
61466,Australia Mobile Optus,0.0429
614683,Australia Mobile Optus,0.0429
614684,Australia Mobile Optus,0.0429
614685,Australia Mobile Optus,0.0429
614686,Australia Mobile Optus,0.0429
614687,Australia Mobile Optus,0.0429
614688,Australia Mobile Optus,0.0429
614689,Australia Mobile Optus,0.0429
61478,Australia Mobile Optus,0.0429
614790,Australia Mobile Optus,0.0429
614791,Australia Mobile Optus,0.0429
6116,Australia Mobile,0.0304
6142,Australia Mobile,0.0304
61400,Australia Mobile Telstra,0.041
61407,Australia Mobile Telstra,0.041
61408,Australia Mobile Telstra,0.041
61409,Australia Mobile Telstra,0.041
61417,Australia Mobile Telstra,0.041
61418,Australia Mobile Telstra,0.041
61419,Australia Mobile Telstra,0.041
61427,Australia Mobile Telstra,0.041
61428,Australia Mobile Telstra,0.041
61429,Australia Mobile Telstra,0.041
61437,Australia Mobile Telstra,0.041
61438,Australia Mobile Telstra,0.041
61439,Australia Mobile Telstra,0.041
614444,Australia Mobile Telstra,0.041
61447,Australia Mobile Telstra,0.041
61448,Australia Mobile Telstra,0.041
61457,Australia Mobile Telstra,0.041
61458,Australia Mobile Telstra,0.041
61459,Australia Mobile Telstra,0.041
61467,Australia Mobile Telstra,0.041
61469,Australia Mobile Telstra Australia Via Lycatel,0.0321
61470,Australia Mobile Telstra Australia Via Lycatel,0.0321
61477,Australia Mobile Telstra,0.041
61487,Australia Mobile Telstra,0.041
614880,Australia Mobile Telstra,0.041
614881,Australia Mobile Telstra,0.041
614882,Australia Mobile Telstra,0.041
614883,Australia Mobile Telstra,0.041
614884,Australia Mobile Telstra,0.041
614885,Australia Mobile Telstra,0.041
614886,Australia Mobile Telstra,0.041
614887,Australia Mobile Telstra,0.041
614889,Australia Mobile Telstra,0.041
61498,Australia Mobile Telstra,0.041
61499,Australia Mobile Telstra,0.041
61404,Australia Mobile Vodafone,0.0424
61405,Australia Mobile Vodafone,0.0424
61406,Australia Mobile Vodafone,0.0424
61410,Australia Mobile Vodafone,0.0424
61414,Australia Mobile Vodafone,0.0424
61415,Australia Mobile Vodafone,0.0424
61416,Australia Mobile Vodafone,0.0424
614202,Australia Mobile Vodafone,0.0424
614203,Australia Mobile Vodafone,0.0424
614204,Australia Mobile Vodafone,0.0424
614205,Australia Mobile Vodafone,0.0424
614206,Australia Mobile Vodafone,0.0424
614207,Australia Mobile Vodafone,0.0424
614208,Australia Mobile Vodafone,0.0424
614209,Australia Mobile Vodafone,0.0424
61424,Australia Mobile Vodafone,0.0424
61426,Australia Mobile Vodafone,0.0424
61449,Australia Mobile Vodafone,0.0424
61450,Australia Mobile Vodafone,0.0424
61451,Australia Mobile Vodafone,0.0424
61452,Australia Mobile Vodafone,0.0424
61453,Australia - Mobile Vodafone,0.0413
614888,Australia Mobile Vodafone,0.0424
6113,Australia Special Services,1.25
6114711,Australia Satellite Fixed Telstra,0.0119
6114712,Australia Satellite Fixed Telstra,0.0119
6114713,Australia Satellite Fixed Telstra,0.0119
6114717,Australia Satellite Fixed Telstra,0.0119
6114718,Australia Satellite Fixed Telstra,0.0119
6114719,Australia Satellite Fixed Telstra,0.0119
611451,Australia Satellite Mobile Optus,0.0119
611452,Australia Satellite Mobile Optus,0.0119
611453,Australia Satellite Mobile Optus,0.0119
6114714,Australia Satellite Mobile Telstra,0.0119
6114715,Australia Satellite Mobile Telstra,0.0119
6114716,Australia Satellite Mobile Telstra,0.0119
43501,Austria Corporate Numbering,0.0068
43502,Austria Corporate Numbering,0.0068
43503,Austria Corporate Numbering,0.0068
43504,Austria Corporate Numbering,0.0068
43505,Austria Corporate Numbering,0.0068
43506,Austria Corporate Numbering,0.0068
43507,Austria Corporate Numbering,0.0068
43508,Austria Corporate Numbering,0.0068
43509,Austria Corporate Numbering,0.0068
43517,Austria Corporate Numbering,0.0068
4357,Austria Corporate Numbering,0.0068
4359,Austria Corporate Numbering,0.0068
43,Austria,0.0063
431,Austria Vienna,0.007
43681,Austria - Mobile Connect One,0.0295
436990,Austria Mobile Three,0.0155
436991,Austria Mobile Three,0.0155
436992,Austria Mobile Three,0.0155
436993,Austria Mobile Three,0.0155
436994,Austria Mobile Three,0.0155
436995,Austria Mobile Three,0.0155
436996,Austria Mobile Three,0.0155
436997,Austria Mobile Three,0.0155
4369980,Austria Mobile Three,0.0155
4369981,Austria Mobile Mobilkom,0.016
4369982,Austria Mobile Mobilkom,0.016
4369983,Austria Mobile Three,0.0155
4369984,Austria Mobile Three,0.0155
4369985,Austria Mobile Three,0.0155
4369986,Austria Mobile Three,0.0155
4369987,Austria Mobile Three,0.0155
436999,Austria Mobile Three,0.0155
43660,Austria Mobile Three,0.0155
4367833,Austria Mobile Three,0.0155
436789,Austria - Mobile H3G,0.0365
43644,Austria - Mobile Mobilkom,0.0295
43664,Austria Mobile Mobilkom,0.016
43680,Austria Mobile Mobilkom,0.016
43688,Austria - Mobile Mobilkom,0.038
4369988,Austria Mobile Mobilkom,0.016
4369989,Austria Mobile Mobilkom,0.016
43661,Austria Mobile,0.0156
43650,Austria Mobile T-Mobile,0.016
43676,Austria Mobile T-Mobile,0.016
436772,Austria Mobile T-Mobile,0.016
436778,Austria Mobile T-Mobile,0.016
43711,Austria Special Services,1.25
43720,Austria Special Services,1.25
43730,Austria Special Services,1.25
43740,Austria Special Services,1.25
43780,Austria Special Services,1.25
43810,Austria Special Services,1.25
43820,Austria Special Services,1.25
994,Azerbaijan,0.2667
99455,Azerbaijan Mobile Bakcell,0.3173
99440,Azerbaijan - Mobile Others,0.3086
99444,Azerbaijan Mobile,0.3189
99450,Azerbaijan Mobile,0.3189
99451,Azerbaijan Mobile,0.3189
99460,Azerbaijan Mobile,0.3189
99470,Azerbaijan Mobile,0.3189
99477,Azerbaijan Mobile,0.3189
1242357,Bahamas Mobile,0.0742
1242359,Bahamas Mobile,0.0742
1242375,Bahamas Mobile,0.0742
1242376,Bahamas Mobile,0.0742
1242395,Bahamas Mobile,0.0742
1242421,Bahamas Mobile,0.0742
1242422,Bahamas Mobile,0.0742
1242423,Bahamas Mobile,0.0742
1242424,Bahamas Mobile,0.0742
1242425,Bahamas Mobile,0.0742
1242426,Bahamas Mobile,0.0742
1242427,Bahamas Mobile,0.0742
1242428,Bahamas Mobile,0.0742
1242429,Bahamas Mobile,0.0742
1242431,Bahamas Mobile,0.0742
1242432,Bahamas Mobile,0.0742
1242433,Bahamas Mobile,0.0742
1242434,Bahamas Mobile,0.0742
1242435,Bahamas - Mobile,0.0909
1242436,Bahamas Mobile,0.0742
1242437,Bahamas Mobile,0.0742
1242438,Bahamas Mobile,0.0742
1242439,Bahamas Mobile,0.0742
1242441,Bahamas Mobile,0.0742
1242442,Bahamas Mobile,0.0742
1242443,Bahamas Mobile,0.0742
1242445,Bahamas Mobile,0.0742
1242446,Bahamas Mobile,0.0742
1242447,Bahamas Mobile,0.0742
1242448,Bahamas Mobile,0.0742
1242449,Bahamas Mobile,0.0742
1242451,Bahamas Mobile,0.0742
1242452,Bahamas Mobile,0.0742
1242453,Bahamas Mobile,0.0742
1242454,Bahamas Mobile,0.0742
1242455,Bahamas Mobile,0.0742
1242456,Bahamas Mobile,0.0742
1242457,Bahamas Mobile,0.0742
1242458,Bahamas Mobile,0.0742
1242462,Bahamas Mobile,0.0742
1242463,Bahamas Mobile,0.0742
1242464,Bahamas Mobile,0.0742
1242465,Bahamas Mobile,0.0742
1242466,Bahamas Mobile,0.0742
1242467,Bahamas Mobile,0.0742
1242468,Bahamas Mobile,0.0742
124247,Bahamas Mobile,0.0742
1242524,Bahamas Mobile,0.0742
1242525,Bahamas Mobile,0.0742
1242533,Bahamas Mobile,0.0742
1242535,Bahamas Mobile,0.0742
1242544,Bahamas Mobile,0.0742
1242551,Bahamas Mobile,0.0742
1242552,Bahamas Mobile,0.0742
1242553,Bahamas Mobile,0.0742
1242554,Bahamas Mobile,0.0742
1242556,Bahamas Mobile,0.0742
1242557,Bahamas Mobile,0.0742
1242558,Bahamas Mobile,0.0742
1242559,Bahamas Mobile,0.0742
1242565,Bahamas Mobile,0.0742
1242577,Bahamas Mobile,0.0742
1242636,Bahamas Mobile,0.0742
1242646,Bahamas Mobile,0.0742
1242727,Bahamas Mobile,0.0742
1242,Bahamas,0.0628
973,Bahrain,0.0405
97377,Bahrain Fixed Wimax MENA,0.0411
97336,Bahrain Mobile Zain,0.058
973377,Bahrain - Mobile MTC Vodafone,0.0772
9736630,Bahrain Mobile Zain,0.058
9736633,Bahrain Mobile Zain,0.058
9736634,Bahrain Mobile Zain,0.058
9736635,Bahrain Mobile Zain,0.058
9736636,Bahrain Mobile Zain,0.058
9736637,Bahrain Mobile Zain,0.058
9736638,Bahrain Mobile Zain,0.058
9736639,Bahrain Mobile Zain,0.058
973666,Bahrain Mobile Zain,0.058
97331,Bahrain Mobile,0.0475
973322,Bahrain - Mobile Others,0.0651
973383,Bahrain Mobile,0.0475
973384,Bahrain Mobile,0.0475
973388,Bahrain Mobile,0.0475
97339,Bahrain Mobile,0.0475
97333,Bahrain Mobile Viva,0.058
973340,Bahrain - Mobile STC,0.0612
973341,Bahrain - Mobile STC,0.0612
973343,Bahrain - Mobile STC,0.0612
973344,Bahrain - Mobile STC,0.0612
973345,Bahrain - Mobile STC,0.0612
880,Bangladesh,0.0196
88031,Bangladesh Chittagong,0.0195
8802,Bangladesh Dhaka,0.0196
880821,Bangladesh Sylhet,0.0196
88011,Bangladesh Mobile,0.0202
88015,Bangladesh Mobile,0.0202
88016,Bangladesh Mobile,0.0202
88017,Bangladesh Mobile,0.0202
88018,Bangladesh Mobile,0.0202
88019,Bangladesh Mobile,0.0202
1246,Barbados,0.1497
1246256,Barbados Mobile Digicel,0.2174
1246257,Barbados Mobile Digicel,0.2174
1246258,Barbados Mobile Digicel,0.2174
1246259,Barbados Mobile Digicel,0.2174
124626,Barbados Mobile Digicel,0.2174
1246530,Barbados Mobile Digicel,0.2174
1246531,Barbados Mobile Digicel,0.2174
1246532,Barbados Mobile Digicel,0.2174
1246533,Barbados Mobile Digicel,0.2174
1246534,Barbados Mobile Digicel,0.2174
124682,Barbados Mobile Digicel,0.2174
124683,Barbados Mobile Digicel,0.2174
124623,Barbados Mobile,0.2117
124624,Barbados Mobile,0.2117
1246250,Barbados Mobile,0.2117
1246251,Barbados Mobile,0.2117
1246252,Barbados Mobile,0.2117
1246253,Barbados Mobile,0.2117
1246254,Barbados Mobile,0.2117
1246255,Barbados Mobile,0.2117
1246446,Barbados Mobile,0.2117
1246447,Barbados Mobile,0.2117
1246448,Barbados Mobile,0.2117
1246449,Barbados Mobile,0.2117
124645,Barbados Mobile,0.2117
124652,Barbados Mobile,0.2117
375,Belarus,0.3289
37517,Belarus Minsk,0.3277
375291,Belarus Mobile Velcom,0.3351
375293,Belarus Mobile Velcom,0.3351
375296,Belarus Mobile Velcom,0.3351
375299,Belarus Mobile Velcom,0.3351
37544,Belarus Mobile Velcom,0.3351
37525,Belarus Mobile,0.341
37529,Belarus Mobile,0.341
37533,Belarus Mobile,0.341
37533344,Belarus - Mobility services,0.1752
37533357,Belarus - Mobility services,0.1752
375602,Belarus Special services,0.3289
32,Belgium,0.0136
3248,Belgium - Mobile Base,0.0481
3249,Belgium Mobile Mobistar,0.0186
324630,Belgium Mobile,0.0225
32460,Belgium Mobile Proximus,0.0185
3247,Belgium Mobile Proximus,0.0185
324681,Belgium Mobile Telenet,0.0206
324682,Belgium Mobile Telenet,0.0206
324683,Belgium Mobile Telenet,0.0206
32702,Belgium Universal Access Number,0.0147
32703,Belgium Universal Access Number,0.0147
32704,Belgium Universal Access Number,0.0147
32706,Belgium Universal Access Number,0.0147
32707,Belgium Universal Access Number,0.0147
501,Belize,0.2205
50160,Belize Mobile,0.2127
50161,Belize Mobile,0.2127
50162,Belize Mobile,0.2127
50163,Belize Mobile,0.2127
50165,Belize Mobile,0.2127
50166,Belize Mobile,0.2127
50167,Belize Mobile,0.2127
229,Benin,0.1925
22993,Benin Mobile BELL Benin,0.1842
22968,Benin Mobile Glomobile,0.1783
22998,Benin Mobile Glomobile,0.1783
22999,Benin Mobile Glomobile,0.1783
22990,Benin Mobile Libercom,0.1884
22966,Benin Mobile MTN,0.163
22967,Benin Mobile MTN,0.163
22996,Benin Mobile MTN,0.163
22997,Benin Mobile MTN,0.163
22964,Benin Mobile Moov,0.1859
22994,Benin Mobile Moov,0.1859
22995,Benin Mobile Moov,0.1859
1441,Bermuda,0.0287
975,Bhutan,0.051
97516,Bhutan Mobile,0.0496
97517,Bhutan Mobile,0.0496
97577,Bhutan Mobile,0.0496
591,Bolivia,0.1077
59122,Bolivia - Fixed La Paz,0.0921
59167,Bolivia Mobile Entel,0.1615
59168,Bolivia Mobile Entel,0.1615
59171,Bolivia Mobile Entel,0.1615
59172,Bolivia Mobile Entel,0.1615
59173,Bolivia Mobile Entel,0.1615
591740,Bolivia Mobile Entel,0.1615
5917410,Bolivia Mobile Entel,0.1615
5917411,Bolivia Mobile Entel,0.1615
5917412,Bolivia Mobile Entel,0.1615
5917413,Bolivia Mobile Entel,0.1615
5917414,Bolivia Mobile Entel,0.1615
5917415,Bolivia Mobile Entel,0.1615
5917420,Bolivia Mobile Entel,0.1615
5917421,Bolivia Mobile Entel,0.1615
5917422,Bolivia Mobile Entel,0.1615
5917423,Bolivia Mobile Entel,0.1615
5917424,Bolivia Mobile Entel,0.1615
5917425,Bolivia Mobile Entel,0.1615
5917430,Bolivia Mobile Entel,0.1615
5917431,Bolivia Mobile Entel,0.1615
5917432,Bolivia Mobile Entel,0.1615
5917433,Bolivia Mobile Entel,0.1615
5917434,Bolivia Mobile Entel,0.1615
5917435,Bolivia Mobile Entel,0.1615
5917436,Bolivia Mobile Entel,0.1615
5917437,Bolivia Mobile Entel,0.1615
5917440,Bolivia Mobile Entel,0.1615
5917441,Bolivia Mobile Entel,0.1615
5917442,Bolivia Mobile Entel,0.1615
5917443,Bolivia Mobile Entel,0.1615
5917444,Bolivia Mobile Entel,0.1615
5917445,Bolivia Mobile Entel,0.1615
5917450,Bolivia Mobile Entel,0.1615
5917451,Bolivia Mobile Entel,0.1615
5917452,Bolivia Mobile Entel,0.1615
5917453,Bolivia Mobile Entel,0.1615
5917454,Bolivia Mobile Entel,0.1615
5917455,Bolivia Mobile Entel,0.1615
591746,Bolivia Mobile Entel,0.1615
5917470,Bolivia Mobile Entel,0.1615
5917471,Bolivia Mobile Entel,0.1615
5917472,Bolivia Mobile Entel,0.1615
5917475,Bolivia Mobile Entel,0.1615
5917476,Bolivia Mobile Entel,0.1615
5917477,Bolivia Mobile Entel,0.1615
5917480,Bolivia Mobile Entel,0.1615
5917481,Bolivia Mobile Entel,0.1615
5917482,Bolivia Mobile Entel,0.1615
5917483,Bolivia Mobile Entel,0.1615
5917484,Bolivia Mobile Entel,0.1615
5917485,Bolivia Mobile Entel,0.1615
5917486,Bolivia Mobile Entel,0.1615
5917490,Bolivia Mobile Entel,0.1615
5917491,Bolivia Mobile Entel,0.1615
5917492,Bolivia Mobile Entel,0.1615
5917493,Bolivia Mobile Entel,0.1615
5917494,Bolivia Mobile Entel,0.1615
5917495,Bolivia Mobile Entel,0.1615
5917496,Bolivia Mobile Entel,0.1615
59160,Bolivia Mobile,0.1635
59165,Bolivia Mobile,0.1635
5917,Bolivia Mobile,0.1635
59169,Bolivia Mobile Telcel,0.165
59175,Bolivia Mobile Telcel,0.165
59176,Bolivia Mobile Telcel,0.165
59177,Bolivia Mobile Telcel,0.165
59178,Bolivia Mobile Telcel,0.165
387,Bosnia And Herzegovina,0.1111
3873020,Bosnia And Herzegovina BH Telecom,0.1066
3873024,Bosnia And Herzegovina BH Telecom,0.1066
3873025,Bosnia And Herzegovina BH Telecom,0.1066
3873026,Bosnia And Herzegovina BH Telecom,0.1066
3873027,Bosnia And Herzegovina BH Telecom,0.1066
3873028,Bosnia And Herzegovina BH Telecom,0.1066
3873029,Bosnia And Herzegovina BH Telecom,0.1066
3873050,Bosnia And Herzegovina BH Telecom,0.1066
3873051,Bosnia And Herzegovina BH Telecom,0.1066
3873052,Bosnia And Herzegovina BH Telecom,0.1066
3873053,Bosnia And Herzegovina BH Telecom,0.1066
3873054,Bosnia And Herzegovina BH Telecom,0.1066
3873056,Bosnia And Herzegovina BH Telecom,0.1066
3873059,Bosnia And Herzegovina BH Telecom,0.1066
3873061,Bosnia And Herzegovina BH Telecom,0.1066
3873083,Bosnia And Herzegovina BH Telecom,0.1066
38731511,Bosnia And Herzegovina BH Telecom,0.1066
3873220,Bosnia And Herzegovina BH Telecom,0.1066
3873222,Bosnia And Herzegovina BH Telecom,0.1066
3873224,Bosnia And Herzegovina BH Telecom,0.1066
3873240,Bosnia And Herzegovina BH Telecom,0.1066
3873241,Bosnia And Herzegovina BH Telecom,0.1066
3873242,Bosnia And Herzegovina BH Telecom,0.1066
3873243,Bosnia And Herzegovina BH Telecom,0.1066
3873244,Bosnia And Herzegovina BH Telecom,0.1066
3873245,Bosnia And Herzegovina BH Telecom,0.1066
3873246,Bosnia And Herzegovina BH Telecom,0.1066
3873255,Bosnia And Herzegovina BH Telecom,0.1066
3873259,Bosnia And Herzegovina BH Telecom,0.1066
3873260,Bosnia And Herzegovina BH Telecom,0.1066
3873261,Bosnia And Herzegovina BH Telecom,0.1066
3873265,Bosnia And Herzegovina BH Telecom,0.1066
3873266,Bosnia And Herzegovina BH Telecom,0.1066
3873267,Bosnia And Herzegovina BH Telecom,0.1066
3873268,Bosnia And Herzegovina BH Telecom,0.1066
3873269,Bosnia And Herzegovina BH Telecom,0.1066
3873272,Bosnia And Herzegovina BH Telecom,0.1066
3873273,Bosnia And Herzegovina BH Telecom,0.1066
3873274,Bosnia And Herzegovina BH Telecom,0.1066
3873277,Bosnia And Herzegovina BH Telecom,0.1066
3873278,Bosnia And Herzegovina BH Telecom,0.1066
3873282,Bosnia And Herzegovina BH Telecom,0.1066
3873284,Bosnia And Herzegovina BH Telecom,0.1066
3873285,Bosnia And Herzegovina BH Telecom,0.1066
3873286,Bosnia And Herzegovina BH Telecom,0.1066
3873287,Bosnia And Herzegovina BH Telecom,0.1066
387332,Bosnia And Herzegovina BH Telecom,0.1066
387334,Bosnia And Herzegovina BH Telecom,0.1066
387335,Bosnia And Herzegovina BH Telecom,0.1066
387336,Bosnia And Herzegovina BH Telecom,0.1066
3873370,Bosnia And Herzegovina BH Telecom,0.1066
3873371,Bosnia And Herzegovina BH Telecom,0.1066
3873372,Bosnia And Herzegovina BH Telecom,0.1066
3873373,Bosnia And Herzegovina BH Telecom,0.1066
3873375,Bosnia And Herzegovina BH Telecom,0.1066
3873376,Bosnia And Herzegovina BH Telecom,0.1066
3873377,Bosnia And Herzegovina BH Telecom,0.1066
3873378,Bosnia And Herzegovina BH Telecom,0.1066
3873380,Bosnia And Herzegovina BH Telecom,0.1066
3873381,Bosnia And Herzegovina BH Telecom,0.1066
3873389,Bosnia And Herzegovina BH Telecom,0.1066
38734611,Bosnia And Herzegovina BH Telecom,0.1066
387352,Bosnia And Herzegovina BH Telecom,0.1066
3873530,Bosnia And Herzegovina BH Telecom,0.1066
3873531,Bosnia And Herzegovina BH Telecom,0.1066
3873532,Bosnia And Herzegovina BH Telecom,0.1066
3873533,Bosnia And Herzegovina BH Telecom,0.1066
3873534,Bosnia And Herzegovina BH Telecom,0.1066
3873536,Bosnia And Herzegovina BH Telecom,0.1066
3873538,Bosnia And Herzegovina BH Telecom,0.1066
3873539,Bosnia And Herzegovina BH Telecom,0.1066
3873554,Bosnia And Herzegovina BH Telecom,0.1066
3873555,Bosnia And Herzegovina BH Telecom,0.1066
3873556,Bosnia And Herzegovina BH Telecom,0.1066
3873557,Bosnia And Herzegovina BH Telecom,0.1066
3873559,Bosnia And Herzegovina BH Telecom,0.1066
3873561,Bosnia And Herzegovina BH Telecom,0.1066
