,Date,Rate
264,1998-07-01,5.54
265,1998-06-01,5.56
266,1998-05-01,5.49
267,1998-04-01,5.45
268,1998-03-01,5.49
269,1998-02-01,5.51
270,1998-01-01,5.56
271,1997-12-01,5.5
272,1997-11-01,5.52
273,1997-10-01,5.5
274,1997-09-01,5.54
275,1997-08-01,5.54
276,1997-07-01,5.52
277,1997-06-01,5.56
278,1997-05-01,5.5
279,1997-04-01,5.51
280,1997-03-01,5.39
281,1997-02-01,5.19
282,1997-01-01,5.25
283,1996-12-01,5.29
284,1996-11-01,5.31
285,1996-10-01,5.24
286,1996-09-01,5.3
287,1996-08-01,5.22
288,1996-07-01,5.4
289,1996-06-01,5.27
290,1996-05-01,5.24
291,1996-04-01,5.22
292,1996-03-01,5.31
293,1996-02-01,5.22
294,1996-01-01,5.56
295,1995-12-01,5.6
296,1995-11-01,5.8
297,1995-10-01,5.76
298,1995-09-01,5.8
299,1995-08-01,5.74
300,1995-07-01,5.85
301,1995-06-01,6.0
302,1995-05-01,6.01
303,1995-04-01,6.05
304,1995-03-01,5.98
305,1995-02-01,5.92
306,1995-01-01,5.53
307,1994-12-01,5.45
308,1994-11-01,5.29
309,1994-10-01,4.76
310,1994-09-01,4.73
311,1994-08-01,4.47
312,1994-07-01,4.26
313,1994-06-01,4.25
314,1994-05-01,4.01
315,1994-04-01,3.56
316,1994-03-01,3.34
317,1994-02-01,3.25
318,1994-01-01,3.05
319,1993-12-01,2.96
320,1993-11-01,3.02
321,1993-10-01,2.99
322,1993-09-01,3.09
323,1993-08-01,3.03
324,1993-07-01,3.06
325,1993-06-01,3.04
326,1993-05-01,3.0
327,1993-04-01,2.96
328,1993-03-01,3.07
329,1993-02-01,3.03
330,1993-01-01,3.02
331,1992-12-01,2.92
332,1992-11-01,3.09
333,1992-10-01,3.1
334,1992-09-01,3.22
335,1992-08-01,3.3
336,1992-07-01,3.25
337,1992-06-01,3.76
338,1992-05-01,3.82
339,1992-04-01,3.73
340,1992-03-01,3.98
341,1992-02-01,4.06
342,1992-01-01,4.03
343,1991-12-01,4.43
344,1991-11-01,4.81
345,1991-10-01,5.21
346,1991-09-01,5.45
347,1991-08-01,5.66
348,1991-07-01,5.82
349,1991-06-01,5.9
350,1991-05-01,5.78
351,1991-04-01,5.91
352,1991-03-01,6.12
353,1991-02-01,6.25
354,1991-01-01,6.91
355,1990-12-01,7.31
356,1990-11-01,7.81
357,1990-10-01,8.11
358,1990-09-01,8.2
359,1990-08-01,8.13
360,1990-07-01,8.15
361,1990-06-01,8.29
362,1990-05-01,8.18
363,1990-04-01,8.26
364,1990-03-01,8.28
365,1990-02-01,8.24
366,1990-01-01,8.23
367,1989-12-01,8.45
368,1989-11-01,8.55
369,1989-10-01,8.84
370,1989-09-01,9.02
371,1989-08-01,8.99
372,1989-07-01,9.24
373,1989-06-01,9.53
374,1989-05-01,9.81
375,1989-04-01,9.84
376,1989-03-01,9.85
377,1989-02-01,9.36
378,1989-01-01,9.12
379,1988-12-01,8.76
380,1988-11-01,8.35
381,1988-10-01,8.3
382,1988-09-01,8.19
383,1988-08-01,8.01
384,1988-07-01,7.75
385,1988-06-01,7.51
386,1988-05-01,7.09
387,1988-04-01,6.87
388,1988-03-01,6.58
389,1988-02-01,6.58
390,1988-01-01,6.83
391,1987-12-01,6.77
392,1987-11-01,6.69
393,1987-10-01,7.29
394,1987-09-01,7.22
395,1987-08-01,6.73
396,1987-07-01,6.58
397,1987-06-01,6.73
398,1987-05-01,6.85
399,1987-04-01,6.37
400,1987-03-01,6.13
401,1987-02-01,6.1
402,1987-01-01,6.43
403,1986-12-01,6.91
404,1986-11-01,6.04
405,1986-10-01,5.85
406,1986-09-01,5.89
407,1986-08-01,6.17
408,1986-07-01,6.56
409,1986-06-01,6.92
410,1986-05-01,6.85
411,1986-04-01,6.99
412,1986-03-01,7.48
413,1986-02-01,7.86
414,1986-01-01,8.14
415,1985-12-01,8.27
416,1985-11-01,8.05
417,1985-10-01,7.99
418,1985-09-01,7.92
419,1985-08-01,7.9
420,1985-07-01,7.88
421,1985-06-01,7.53
422,1985-05-01,7.97
423,1985-04-01,8.27
424,1985-03-01,8.58
425,1985-02-01,8.5
426,1985-01-01,8.35
427,1984-12-01,8.38
428,1984-11-01,9.43
429,1984-10-01,9.99
430,1984-09-01,11.3
431,1984-08-01,11.64
432,1984-07-01,11.23
433,1984-06-01,11.06
434,1984-05-01,10.32
435,1984-04-01,10.29
436,1984-03-01,9.91
437,1984-02-01,9.59
438,1984-01-01,9.56
439,1983-12-01,9.47
440,1983-11-01,9.34
441,1983-10-01,9.48
442,1983-09-01,9.45
443,1983-08-01,9.56
444,1983-07-01,9.37
445,1983-06-01,8.98
446,1983-05-01,8.63
447,1983-04-01,8.8
448,1983-03-01,8.77
449,1983-02-01,8.51
450,1983-01-01,8.68
451,1982-12-01,8.95
452,1982-11-01,9.2
453,1982-10-01,9.71
454,1982-09-01,10.31
455,1982-08-01,10.12
456,1982-07-01,12.59
457,1982-06-01,14.15
458,1982-05-01,14.45
459,1982-04-01,14.94
460,1982-03-01,14.68
461,1982-02-01,14.78
462,1982-01-01,13.22
463,1981-12-01,12.37
464,1981-11-01,13.31
465,1981-10-01,15.08
466,1981-09-01,15.87
467,1981-08-01,17.82
468,1981-07-01,19.04
469,1981-06-01,19.1
470,1981-05-01,18.52
471,1981-04-01,15.72
472,1981-03-01,14.7
473,1981-02-01,15.93
474,1981-01-01,19.08
475,1980-12-01,18.9
476,1980-11-01,15.85
477,1980-10-01,12.81
478,1980-09-01,10.87
479,1980-08-01,9.61
480,1980-07-01,9.03
481,1980-06-01,9.47
482,1980-05-01,10.98
483,1980-04-01,17.61
484,1980-03-01,17.19
485,1980-02-01,14.13
486,1980-01-01,13.82
487,1979-12-01,13.78
488,1979-11-01,13.18
489,1979-10-01,13.77
490,1979-09-01,11.43
491,1979-08-01,10.94
492,1979-07-01,10.47
493,1979-06-01,10.29
494,1979-05-01,10.24
495,1979-04-01,10.01
496,1979-03-01,10.09
497,1979-02-01,10.06
498,1979-01-01,10.07
499,1978-12-01,10.03
500,1978-11-01,9.76
501,1978-10-01,8.96
502,1978-09-01,8.45
503,1978-08-01,8.04
504,1978-07-01,7.81
505,1978-06-01,7.6
506,1978-05-01,7.36
507,1978-04-01,6.89
508,1978-03-01,6.79
509,1978-02-01,6.78
510,1978-01-01,6.7
511,1977-12-01,6.56
512,1977-11-01,6.51
513,1977-10-01,6.47
514,1977-09-01,6.14
515,1977-08-01,5.9
516,1977-07-01,5.42
517,1977-06-01,5.39
518,1977-05-01,5.35
519,1977-04-01,4.73
520,1977-03-01,4.69
521,1977-02-01,4.68
522,1977-01-01,4.61
523,1976-12-01,4.65
524,1976-11-01,4.95
525,1976-10-01,5.02
526,1976-09-01,5.25
527,1976-08-01,5.29
528,1976-07-01,5.31
529,1976-06-01,5.48
530,1976-05-01,5.29
531,1976-04-01,4.82
532,1976-03-01,4.84
533,1976-02-01,4.77
534,1976-01-01,4.87
535,1975-12-01,5.2
536,1975-11-01,5.22
537,1975-10-01,5.82
538,1975-09-01,6.24
539,1975-08-01,6.14
540,1975-07-01,6.1
541,1975-06-01,5.55
542,1975-05-01,5.22
543,1975-04-01,5.49
544,1975-03-01,5.54
545,1975-02-01,6.24
546,1975-01-01,7.13
547,1974-12-01,8.53
548,1974-11-01,9.45
549,1974-10-01,10.06
550,1974-09-01,11.34
551,1974-08-01,12.01
552,1974-07-01,12.92
553,1974-06-01,11.93
554,1974-05-01,11.31
555,1974-04-01,10.51
556,1974-03-01,9.35
557,1974-02-01,8.97
558,1974-01-01,9.65
559,1973-12-01,9.95
560,1973-11-01,10.03
561,1973-10-01,10.01
562,1973-09-01,10.78
563,1973-08-01,10.5
564,1973-07-01,10.4
565,1973-06-01,8.49
566,1973-05-01,7.84
567,1973-04-01,7.12
568,1973-03-01,7.09
569,1973-02-01,6.58
570,1973-01-01,5.94
571,1972-12-01,5.33
572,1972-11-01,5.06
573,1972-10-01,5.05
574,1972-09-01,4.87
575,1972-08-01,4.81
576,1972-07-01,4.55
577,1972-06-01,4.46
578,1972-05-01,4.27
579,1972-04-01,4.17
580,1972-03-01,3.83
581,1972-02-01,3.3
582,1972-01-01,3.51
583,1971-12-01,4.14
584,1971-11-01,4.91
585,1971-10-01,5.2
586,1971-09-01,5.55
587,1971-08-01,5.57
588,1971-07-01,5.31
589,1971-06-01,4.91
590,1971-05-01,4.63
591,1971-04-01,4.16
592,1971-03-01,3.71
593,1971-02-01,3.72
594,1971-01-01,4.14
595,1970-12-01,4.9
596,1970-11-01,5.6
597,1970-10-01,6.2
598,1970-09-01,6.29
599,1970-08-01,6.62
600,1970-07-01,7.21
601,1970-06-01,7.61
602,1970-05-01,7.95
603,1970-04-01,8.1
604,1970-03-01,7.76
605,1970-02-01,8.98
606,1970-01-01,8.98
607,1969-12-01,8.97
608,1969-11-01,8.85
609,1969-10-01,9.0
610,1969-09-01,9.15
611,1969-08-01,9.19
612,1969-07-01,8.61
613,1969-06-01,8.9
614,1969-05-01,8.67
615,1969-04-01,7.41
616,1969-03-01,6.79
617,1969-02-01,6.61
618,1969-01-01,6.3
619,1968-12-01,6.02
620,1968-11-01,5.82
621,1968-10-01,5.91
622,1968-09-01,5.78
623,1968-08-01,6.03
624,1968-07-01,6.03
625,1968-06-01,6.07
626,1968-05-01,6.12
627,1968-04-01,5.76
628,1968-03-01,5.05
629,1968-02-01,4.71
630,1968-01-01,4.61
631,1967-12-01,4.51
632,1967-11-01,4.13
633,1967-10-01,3.88
634,1967-09-01,3.99
635,1967-08-01,3.9
636,1967-07-01,3.79
637,1967-06-01,3.98
638,1967-05-01,3.94
639,1967-04-01,4.05
640,1967-03-01,4.53
641,1967-02-01,5.0
642,1967-01-01,4.94
643,1966-12-01,5.4
644,1966-11-01,5.76
645,1966-10-01,5.53
646,1966-09-01,5.4
647,1966-08-01,5.53
648,1966-07-01,5.3
649,1966-06-01,5.17
650,1966-05-01,4.9
651,1966-04-01,4.67
652,1966-03-01,4.66
653,1966-02-01,4.6
654,1966-01-01,4.42
655,1965-12-01,4.32
656,1965-11-01,4.1
657,1965-10-01,4.08
658,1965-09-01,4.02
659,1965-08-01,4.12
660,1965-07-01,4.09
661,1965-06-01,4.05
662,1965-05-01,4.1
663,1965-04-01,4.09
664,1965-03-01,4.05
665,1965-02-01,3.98
666,1965-01-01,3.9
667,1964-12-01,3.85
668,1964-11-01,3.52
669,1964-10-01,3.36
670,1964-09-01,3.45
671,1964-08-01,3.5
672,1964-07-01,3.42
673,1964-06-01,3.5
674,1964-05-01,3.5
675,1964-04-01,3.47
676,1964-03-01,3.43
677,1964-02-01,3.48
678,1964-01-01,3.48
679,1963-12-01,3.38
680,1963-11-01,3.48
681,1963-10-01,3.5
682,1963-09-01,3.48
683,1963-08-01,3.49
684,1963-07-01,3.02
685,1963-06-01,2.99
686,1963-05-01,3.0
687,1963-04-01,2.9
688,1963-03-01,2.98
689,1963-02-01,3.0
690,1963-01-01,2.92
691,1962-12-01,2.93
692,1962-11-01,2.94
693,1962-10-01,2.9
694,1962-09-01,2.9
695,1962-08-01,2.93
696,1962-07-01,2.71
697,1962-06-01,2.68
698,1962-05-01,2.36
699,1962-04-01,2.78
700,1962-03-01,2.85
701,1962-02-01,2.37
702,1962-01-01,2.15
703,1961-12-01,2.33
704,1961-11-01,2.61
705,1961-10-01,2.26
706,1961-09-01,1.88
707,1961-08-01,2.0
708,1961-07-01,1.17
709,1961-06-01,1.73
710,1961-05-01,1.98
711,1961-04-01,1.49
712,1961-03-01,2.02
713,1961-02-01,2.54
714,1961-01-01,1.45
715,1960-12-01,1.98
716,1960-11-01,2.44
717,1960-10-01,2.47
718,1960-09-01,2.6
719,1960-08-01,2.98
720,1960-07-01,3.23
721,1960-06-01,3.32
722,1960-05-01,3.85
723,1960-04-01,3.92
724,1960-03-01,3.84
725,1960-02-01,3.97
726,1960-01-01,3.99
727,1959-12-01,3.99
728,1959-11-01,4.0
729,1959-10-01,3.98
730,1959-09-01,3.76
731,1959-08-01,3.5
732,1959-07-01,3.47
733,1959-06-01,3.39
734,1959-05-01,2.9
735,1959-04-01,2.96
736,1959-03-01,2.8
737,1959-02-01,2.43
738,1959-01-01,2.48
739,1958-12-01,2.42
740,1958-11-01,2.27
741,1958-10-01,1.8
742,1958-09-01,1.76
743,1958-08-01,1.53
744,1958-07-01,0.68
745,1958-06-01,0.93
746,1958-05-01,0.63
747,1958-04-01,1.26
748,1958-03-01,1.2
749,1958-02-01,1.67
750,1958-01-01,2.72
751,1957-12-01,2.98
752,1957-11-01,3.28
753,1957-10-01,3.5
754,1957-09-01,3.47
755,1957-08-01,3.24
756,1957-07-01,2.99
757,1957-06-01,3.0
758,1957-05-01,3.0
759,1957-04-01,3.0
760,1957-03-01,2.96
761,1957-02-01,3.0
762,1957-01-01,2.84
763,1956-12-01,2.94
764,1956-11-01,2.88
765,1956-10-01,2.96
766,1956-09-01,2.95
767,1956-08-01,2.73
768,1956-07-01,2.75
769,1956-06-01,2.71
770,1956-05-01,2.75
771,1956-04-01,2.62
772,1956-03-01,2.5
773,1956-02-01,2.5
774,1956-01-01,2.45
775,1955-12-01,2.48
776,1955-11-01,2.35
777,1955-10-01,2.24
778,1955-09-01,2.18
779,1955-08-01,1.96
780,1955-07-01,1.68
781,1955-06-01,1.64
782,1955-05-01,1.43
783,1955-04-01,1.43
784,1955-03-01,1.35
785,1955-02-01,1.29
786,1955-01-01,1.39
787,1954-12-01,1.28
788,1954-11-01,0.83
789,1954-10-01,0.85
790,1954-09-01,1.07
791,1954-08-01,1.22
792,1954-07-01,0.8
