,class,documents
30,0,"@kirstiecat Because we have quantity problems & are indecisive about which ones are the best.  Speaking for myself, anyway, haha.
"
31,0,"I can't wait until the weather gets warmer so I can take photo walks without feeling my fingers go numb & worrying idly about frostbite.
"
32,0,"For the record: if I were to travel to any festival announced so far this year, it would be Sasquatch.  That is one niiiice lineup.
"
33,0,"Dear #Lost, I love it when you indulge your The Stand influences.  It's just, can we really get some action going now?
"
34,0,"Win a new Canon 5DMKII or $2700 of photo printing/product from @WHCCPro & Scott Bourne. Pls RT. Info: http://bit.ly/6Mtx9I
"
35,0,"@theantlers It is!  And I too love Beach House - it would just be three times the amazing if you guys were there too.  A girl can dream!
"
36,0,"@theantlers You should open for The National at Celebrate Brooklyn also.  Because I will be there, with bells on.  Just saying!
"
37,0,"@theantlers Omg, congrats guys!  Now I'm even more exponentially upset that I can't make that Radio City show, though. :(
"
38,0,"Oh this is going to be a great day, I'm already furious at pretty much everyone I've come into contact with.
"
39,0,"Fell asleep in my clothes with the lights on.  Had a night of lengthy unusually detailed dreams.  Now my brain feels like a smudge of grey.
"
40,0,"@deseraestage Uh oh, what happened? (Why do I get the feeling that your evening may have the makings of a clusterfuck?)
"
41,0,"@cupide430 Oh noooo, I'm sorry lady. :(. Feel better!
"
42,0,"@anikainlondon Yay, I'm so glad you liked!  Gah, Merril is just something else, right?  So great.
"
43,0,"@kirstiecat Not at all!  The real time sink for me though is reading all the deliberately inflammatory opinions in their forums, ugh.
"
44,0,"Passing on the Holly Miranda instore in favor of hibernating at home tonight, aka LAZY.  Sometimes I just don't have the energy.
"
45,0,"@theCameraClicks Ooh, Epcot!  I haven't been since I was a kid myself.  Do they still have Figment & the whole imagination station thing?
"
46,0,"@anikainlondon @kirstiecat ...but my favorite shots usually wind up being of musician at a pause. Sorry, I may've lost my initial thought.
"
47,0,"@anikainlondon @kirstiecat ...the goal of taking live shots that are portraity, if that makes sense. Like, I love capturing the action...
"
48,0,"@anikainlondon @kirstiecat Candid sorts of portraits are generally my favorites as well - but I also have in the back of my mind...
"
49,0,"Alright, I think I approve of the new guy at work.  For now.  Until he does something moronic, hah.
"
50,0,"@jennylow Um, that sounds like more or less the best lunch break ever, I'm jealous!
"
51,0,"I don't want to go to bed so I can get up for work; I want to pretend-figure skate around my house to Ambling Alp.
"
52,0,"Omg Season 2 Veronica Mars finale BKLRCJ37,!JC !!  Epic!  Crying!  Etc!
"
53,0,"Suddenly I'm filled with the powerful desire to learn to use an external flash.  Or just flash in general.  Self, meet learning curve.
"
54,0,"Between Magnetic Fields with @cupide430 yesterday & dinner-making & Veronica Mars with T tonight, this is my best Valentines weekend ever.
"
55,0,"My Valentine.  (Oh look, you can totally see a little-kid-Amanda photo in the background.) http://yfrog.com/35hlmkj
"
56,0,"@dougkatz Good to see you also!  Haha, that's ok, pretty amusing stuff-just remind me never to cross your dad.
"
57,0,"Back in Jersey before 2am?  Usually I'd still be at Penn Sta at this hour.  It's a miracle!
"
58,0,"@kirstiecat I don't blame you for not getting over that entirely!  I'm annoyed at them now on your behalf.
"
59,0,"@kirstiecat @ihateanarchists Life would be simpler if all these brilliant musicians/lyricists were also nice people, heh.
"
60,0,"@kirstiecat But that's horrifying re: her comment, I think if a band member said that to me esp from stage I'd have run away crying, alas.
"
61,0,"@kirstiecat I love them too - but I definitely also think they're one of those bands I needed to see once, but not necessarily over & over.
"
62,0,"@kirstiecat Eek, I didn't even want to shoot this, knew they play seated etc & @ihateanarchists, I'll look forward to seeing your shots. :)
"
63,0,"@kirstiecat Nope, I'm just here to enjoy. :). Intermission now - but they're lovely!  Never seen them before.
"
64,0,"Magnetic Fields! (@ BAM-Howard Gilman Opera House w/ 10 others) http://4sq.com/1n4Lvn
"
65,0,"This resturant is surprisingly dead for the night before Valentines Day, & a Saturday night to boot.  Bartender seems rather miserable.
"
66,0,"I'm at Poppa's Place (271 Adelphi St., New York). http://4sq.com/73qvFG
"
67,0,"I'm at Brooklyn Flea Market - One Hanson (1 Hanson Pl, at Flatbush Ave, Brooklyn) w/ 15 others. http://4sq.com/5LWely
"
68,0,"@LauraVogel Oh, Laura, I'm sorry. :( &lt;3 &lt;3
"
69,0,"I'm always surprised when I remember a dream that doesn't technically qualify as a nightmare.
"
70,0,"Clearly the more tired I am the more verb tenses I mix.  Goodnight Twitter.
"
71,0,"I get back to Jersey & the bar across the street from my work is blasting ""Brooklyn Brooklyn take me in."" I was amused.
"
72,0,"Can it be 12:55 now so my train leaves?  Ok thanks. (@ NJT: Secaucus Junction) http://4sq.com/3HMXcZ
"
73,0,"Laura Marling was lovely.  I have chocolate pomegranate swirl frozen yogurt to eat once I get to Secaucus. #goodnight
"
74,0,"I'm at Pinkberry (177 Bleecker St., btw MacDougal & Sullivan, New York). http://4sq.com/9DreIL
"
75,0,"@kyledreinford Aww, I thought you were coming to this also, that sucks.
"
76,0,"Le Poisson Rouge confuses me already.  Because I am a lame-o.  Yup.
"
77,0,"Laura Marling! (@ Le Poisson Rouge) http://4sq.com/3ZHltf
"
78,0,"I just unlocked the ""Photogenic"" badge on @foursquare! http://4sq.com/ds8J3F
"
79,0,"@cupide430 Tonight apparently it's seated & doors are early - 6:30!  So we'll see.
"
80,0,"@deseraestage Fucking bosses.  Fucking crying at work.  I'm sorry. :(
"
81,0,"@cupide430 Laura Marling at LPR!  Which I've never been to, oddly enough.
"
82,0,"@kirstiecat @deseraestage I have a Canon G9, which, while it's obviously no SLR, does at least have manual controls.
"
83,0,"@kirstiecat He got himself a girlfriend, apparently.  I miss our Twitter chats a lot. :(
"
84,0,"I love eating in Whole Foods.  I am a nerd. (@ Whole Foods) http://4sq.com/1dxEO8
"
85,0,"@deseraestage Big gay agenda?  Me. I would never--oh, wait, that's a lie, haha.
"
86,0,"@kyledreinford The more you & @ryanmuir bicker, the more I think you may be secretly in love. C'mon guys, spill, it's almost Valentines Day.
"
87,0,"@deseraestage Dude needs to learn, BROS B4 HOES.  You reading this, @rockscope?
"
88,0,"@deseraestage Aww, that makes me miss @rockscope on Twitter, & the various Pokemon related conversations we used to have.  Sniff!
"
89,0,"@deseraestage Watson Twins at Bell House tonight?  If I wasn't already going to Laura Marling at LPR, I'd be all over that shit.
"
90,0,"@deseraestage Gotta get 'em while they're still young!
"
91,0,"@deseraestage C'mon, you totally paid 75+ to be squashed between hordes of underaged lesbians.  That's why I would've gone!  Or not.
"
92,0,"@christinetheg Yay!  Where were they?  Now I just need to find my work keys, which are, delightfully, also lost.
"
93,0,"@leebovel Ooh, yeah?  I'm so fascinated by Hadestown, the Underworld cycles of various mythologies are my favorites.
"
94,0,"I have a really bad feeling about tomorrow.
"
95,0,"My little bastard of a cat knocked my freaking camera onto the floor last night.  I'm pretty sure it & the lens were saved by the lens hood.
"
96,0,"@deseraestage Your bio should definitely include the fact that Neil Gaiman has a framed photo from you by his bed. (!!!)
"
97,0,"Aww, Lost, doing what you do best: torture scenes & uncannily bringing back characters.
"
98,0,"I realize I'm a day late with this, but Bonnaroo lineup is...strange.  Dave Matthews Band, GWAR, & Tori Amos playing a festival together?
"
99,0,"I love randomly checking out a webstore & finding that a coat you've been eying for months has finally gone on clearance.
"
100,0,"Caveat about this morning's ""pretty snow!"" tweet - I'm sure I'd be enjoying it a lot more if I wasn't sick.  OH WELL.
"
101,0,"It's so pretty outside!  The snow actually didn't fake us out this time!
"
102,0,"Seriously getting home and throwing these clothes in the wash is going to be the biggest fucking relief ever. FMFL.
"
103,0,"@cupide430 @lauravogel Thank you, ladies.  I'm actually on my way home now, but I appreciate the offers.
"
104,0,"Right. So. No Yeasayer for me tonight, heading home & attempting to forget my shame, which is enormous & unceasing.  FUCKKK.
"
105,0,"In short: I just puked on the fucking bus, & then spent 45 minutes in a Port Authority bathroom cleaning myself up.  Fuck my life forever.
"
106,0,"It's really been too long since I've vomited somewhere embarrassing & inappropriate.  Clearly an experience I should seek to repeat often.
"
107,0,"@dgmphoto Thanks Dominick!  I saw yours on BV, they're fantastic!
"
108,0,"@kirstiecat So many awe inspiring shots, the character limit wouldn't even let me being to list them.
"
109,0,"@leebovel Thank you!  Yes, definitely - I foresee a Yeasayer dance party, haha.
"
110,0,"Photos: @theantlers & @rarariot at @BAM_Brooklyn for Sounds Like Brooklyn, 2/5 -- http://www.amandamhatfield.com/?p=474
"
111,0,"@darmajani These kinds of decisions always bring out my inner cheapskate, which I keep restrained normally only with great effort, haha.
"
112,0,"@darmajani I really like the 7D.  & I'm like 90% of the way to deciding on it.  But the T2i has most of the features for half the price, arg
"
113,0,"The announcement of the Canon T2i is sort of vexing me.  I've been literally on the verge of buying a 7D... & now I will rethink once again.
"
114,0,"Your flickr stats, explained!  Hilarious and true. http://flic.kr/p/7APrMu
"
115,0,"I mean, what's the point of a pub getting you credentials when they're just going to run 1 shot, without even an accompanying article?
"
116,0,"Well that was sort of a letdown, I was hoping they might use more than 1 of the 20 photos they asked me to submit, oh well.
"
117,0,"@jonnyleather Sweet lineup, in all likelihood I'll be there (basically I can't seem to resist seeing Arms over & over & over.)
"
118,0,"@LauraVogel Good luck, lady. &lt;3
"
119,0,"Another big week coming up!  Hopefully they'll fix my schedule at work so I'm not working 6 days, because seriously guys, I need to be away.
"
120,0,"I have a really hard time narrowing down lots of lots of pictures to, like, 10.  Whelp.
"
121,0,"It's annoying because I've been behind on Twitter due to massive amounts of editing, & I was hoping to catch up while at work. Foiled again.
"
122,0,"I'm at work.  It's dead in here.  Tweetie isn't letting me go back & read old tweets past a certain point.  Bored bored bored.
"
123,0,"@deseraestage Hit me up when you get the details on what you need from sponsers for that, I'm in.
"
124,0,"Wow, I really thought that less of these pictures would be usable due to camera shake/hand shake/lack of IS on my 70-200 lens.  Go me?
"
125,0,"@deseraestage Seriously?  I thought you knew I was gay, haha. (Aka, yes, yes I am!)  Or maybe that was sarcasm, in which case!
"
126,0,"Typical Jersey night out? (@ Houlihans) http://4sq.com/bKuCku
"
127,0,"@deseraestage I KNOW.  I FEEL LIKE THE WORST DYKE EVER RIGHT NOW.  Whatever, it was a good cry.
"
128,0,"My coworker Mandie & I went to see Dear John & cried like little bitches, what the hell
"
129,0,"A-squared movie night. (@ AMC Loews Palisades Center w/ 2 others) http://4sq.com/8d6tUF
"
130,0,"@jennylow Alas, I have no advice for you there, I'm strictly a still photo sort of gal, heh.
"
131,0,"@jennylow ...it's best to stick with it. I think Canon may have superior video handling for now, but no doubt Nikon will catch up soon.
"
132,0,"@jennylow Honestly I think the Canon & Nikon lines are comparable enough that once you have an investment in lenses for one...
"
133,0,"@kyledreinford Uh, nice snuggie, dude.
"
134,0,"Dear work: no, I am not coming in today.  Please fuck off, kthanks!
"
135,0,"Where is all this snow we were promised?  I was looking forward to editing by the window & watching it fall, now I'm disappointed.
"
136,0,"@electricvishnu It's not really the Bergen Mall anymore to me, now that the warren of passageways downstairs & orange tiling is gone. :(
"
137,0,"Oh, tonight was amazing!  @rarariot & @theantlers both killed it.  I took way too many pictures.  My favorite sorts of nights.
"
138,0,"I'm at Scopello (63 Lafayette Ave, btw Fulton and S Elliott, Brooklyn). http://4sq.com/6TaE1K
"
139,0,"I just unlocked the ""Swarm"" badge on @foursquare! http://4sq.com/9CYNb7
"
140,0,"Ra Ra Riot & The Antlers! (@ BAM-Howard Gilman Opera House w/ 8 others) http://4sq.com/1n4Lvn
"
141,0,"Somehow I got sort of lost on the way to BAM.  I've been here before!  No idea how this happened!
"
142,0,"Why is it that the bus only seems to run on time when I'd like it to be running 5-10 minutes late?  Murphy's Law of Public Transportation.
"
143,0,"Soooo excited for @theantlers & @rarariot at BAM tonight.  Hopefully I'll be able to beat the snow home, if we get any that is.
"
144,0,"Neutral Milk Hotel will always have my heart. http://flic.kr/p/7AJ69p
"
145,0,"Do I want to sit here not moving & sulk, or do I want to take a walk & sulk & freeze?  Decisions, decisions.
"
146,0,"(Sometimes I freak out over really stupid inconsequential shit.  Everything's fine.  I'll feel better in the morning.  Sort of.  Maybe.)
"
147,0,"What I really want is to lapse into some sort of extended twilight sleep. The kind you don't wake up from. Could that happen, starting soon?
"
148,0,"@deseraestage Clearly it's furthering your career in _some_ way.  I mean, that's all you're interested, amirite? /sarcasm
"
149,0,"@jennylow My cat does the same thing, we had to start closing it in a cabinet instead of keeping it on the roll so he couldn't get to it.
"
150,0,"Ugh loss prevention meetings = fail, fail & more fail.  And my favorite assistant manager is leaving on Saturday.  Basically, BALLS.
"
151,0,"Apparently not working a 2nd short shift tonight, just going in for the meeting. I can dig this, although I feel like I've cheated somehow.
"
152,0,"I think this ShopRite is hell on earth.  Lots of slow moving old people & 3G service (& E) is pretty much zilch.
"
153,0,"Also guy there looked at me like I had 2 heads when I started talking about 3rd party teleconvertors. Way not to encourage repeat customers.
"
154,0,"So it's just as well my local camera store didn't have any teleconvertors other than Canon's. Should be ok without the extra reach & f4=ick.
"
155,0,"@fairytalevegas Eeew.  This is where one interjects disparaging comparisons of the length of your lenses vs. peen.
"
156,0,"@deseraestage Ugh, seriously?  I'm pretty sure I know what you're referring to, & it really sours me towards said rockstar & assistant.
"
157,0,"@ihateanarchists Oh, awesome! Yeah I was looking at yours & @kathrynyu's, but I remembered her saying she'd used a teleconverter + 70-200.
"
158,0,"@LauraVogel Also, my name is Amanda Anxiety, and thus, yeah.  ;)  I worry, therefore I am!
"
159,0,"@LauraVogel I just got confirmed to shoot at BAM on Fri. Shoot's from a press box, fairly far away, not sure if my current gear is up for it
"
160,0,"...But then again, I'm working with a crop sensor so maybe I'll eke out ok at 200mm?  (Yeah I'm still deliberating on this, WHATEVER.)
"
161,0,"Ok, my consensus is: hopefully my local camera shop will have a teleconverter for me tomorrow. If not, uh, plan B! Which remains a mystery.
"
162,0,"Well now, just got confirmation to shoot RaRaRiot/Antlers at BAM on Friday-which is great, but is my 70-200 going to cut it?  Probably not!
"
163,0,"LOST!!! Ok, episode = at least one of my suspicions from last season was confirmed.  Teaser for next week = LAME.
"
164,0,"They are seriously milking this shit for all it's worth, commercial-wise.  Is this what we have to look forward to all season? #lost
"
165,0,"Oh hey it's snowing! #forreal #notonlost
"
166,0,"Have I expressed my concern about creating a time paradox often enough? No?  Time paradoxes are nothing to fuck around with, guys. #lost
"
167,0,"Really!  Stepping away from Twitter...now! (Seriously though, they couldn't have done a better job with that little CGI interlude?) #lost
"
168,0,"LOST time!!! Trying to resist the temptation to live tweet.
"
169,0,"@amaindrault I'm trying to cover Ra Ra Riot/Antlers Friday but it probably won't pan out, oh well.  Going to the show either way!
"
170,0,"And once again, I stumble upon yet another unexpected emotional minefield while wandering around my town in the cold & near dark.
"
171,0,"#concertfromhell Animal Tropical, The Netherlands, Jaguar Love, GIRL TALK.
"
172,0,"@cupide430 DO IT.  Legwarmers & leggings are totally my 80's throwback guilty pleasures.
"
173,0,"Kind of wish I was going to @BellHouseNY's LOST shindig tonight. Because I love Bell House-but watching on my couch in pjs with my cat=a-ok.
"
174,0,"@cupide430 Well, it depends - outside NYC as in, like, Jersey, or as in on the other side of the country?
"
175,0,"Ugh, February.  I hate this day/week/month.  Wake me up in a few weeks.
"
176,0,"I see all your Grammy tweets & raise you a cute cat. http://flic.kr/p/7zNmXg
"
177,0,"(I decided against Grammy-watching.  Reading all of your tweets in response to it is much more amusing, frankly.)
"
178,0,"Clearly my cat loves The National.  I put on Boxer and he stopped running around & sat on my lap & started purring his little brains out.
"
179,0,"@kirstiecat I dunno.  I'm no fan of hers, but I think she'd be pretty fun to photograph, provided it wasn't soundboard.
"
180,0,"Dear Facebook, plz to become a fan of my photography page? http://bit.ly/avZWkI Thank youuuuu. #fb
"
181,0,"@kirstiecat That is commendable!  Usually male & female band members = the guys get neglected, photo-wise, by me anyway.
"
182,0,"Debating livetweeting the Grammys again this year... guess it depends on how much work I get done today? & how ridiculous I'm feeling. #fb
"
183,0,"Also I got roped into taking the most awful impromptu promo shots ever of this shitty band.  I don't even know.  I'm  totally sober.
"
184,0,"She kept trying to get me to go make out with her in the bathroom.  She was kind of cute, but anonymous drunken hookups=not my thing, guys.
"
185,0,"Weirdest night ever.  This drunk girl claimed to have fallen in love with me as soon as I walked in the door.
"
186,0,"@LauraVogel Oh trust me, she wouldn't let me leave without getting them, haha.  So not my type at all, weirddd.
"
187,0,"@dougkatz O'Donoghue's in Nyack.  Apparently it's a secret lesbian hotspot, who knew?
"
188,0,"There's a drunk chick at this bar hitting on me.  #suddenlythisnightgothilarious
"
189,0,"...And I get to listen, yet again, to my mom & her friend rehash the weekend of my father's death for the zillionth time.  Lovely.
"
190,0,"I love sitting in a bar in Nyack getting elbowed in the ear. #anothergreatsaturdaynight
"
191,0,"I'm not sure what I've gotten myself into... (@ O'Donohugh's Tavern) http://4sq.com/bRZXv6
"
192,0,"@cupide430 Well damn, I'm impressed by how quickly you got through.  Wait a sec, don't you also go to law school or something?  Haha.
"
193,0,"Somehow I got myself roped into taking pictures of my mom's friend's boyfriend's band tonight.  Bahaha, thank god for earplugs.
"
194,0,"@eliz Oh, woah, Swankarmy, that takes me way back; I remember idolizing the folks on there.  Guess it's a small internet after all!
"
195,0,"iPad Cartoon Template (from lunchbreath on flickr).  His stuff is always pretty brilliant, & this is no exception. http://flic.kr/p/7yUQQ2
"
196,0,"@theCameraClicks But god, Ian, they gave you credit, and you'll get _so_ much exposure from it, what more could you want? /sarcasm
"
197,0,"@deseraestage Don' hate the player, hate the game! (PS: Your new kitten.  So cute.  OMG.)
"
198,1,"@Shrish हाँ इन दो महीनो में #BSNL  दादा ज्यादा ही नाराज रहे !
"
199,1,"अप्रैल से बचत खाते पर रोजाना ब्याज http://networkedblogs.com/p28114413
"
200,1,"@sanjaybengani  actually what FTP pub. is? want 2 know?@gyandutt  sir ! be att.
"
201,1,"@sanjaybengani Blogger closing down the FTP pub.  means? whome 2 effect?
"
202,1,"@roushn ओह ! मुबारका !  lazy ? lazy ? morning
"
203,1,"@drdwivedi1 द्विवेदी जी! आप tweet  को लाक किये हुए हैं जिससे हम जैसे लोग उसे re-tweet  नहीं कर पाते हैं! कृपया settings  में परवर्तन कर दें
"
204,1,"@sprakhar सबसे अच्छा गूगल क्रोम? are ham to mozilla firefox me atke hue!
"
205,1,"""आतंकियों के गांव को पर्यटन-स्थल बनाया -http://bit.ly/dAM6rJ
"
206,1,"@aojha gym ya exercise to apni bhi mahine do mahine se jyada kabhi nahin chal paya! hamari duaayen aapke sath!
"
207,1,"@aojha unko bhi mauj-proof ka antidot laga blogging ke nashe ki aadat dalwa den-:)
"
208,1,"@giribala yes! that's 4 Einstein's quote! u just tweeted!
"
209,1,"@giribala it's g8
"
210,1,"#buzz ke aaj darshan hue ! shayad utni dikkat ab nahin?
"
211,1,"@shrish kahiye maasaab! hamree tarah aapau ka mil gaya #bsnl ka maja? bahut mauj le rahe the?
"
212,1,"@santoshtrivedi ha ha !
"
213,1,"@sardesairajdeep any value for the life of a police or army jawan? no way!!
"
214,1,"@sardesairajdeep  दोनों अमेरिका के दबाव में हैं ...शायद गले मिल लें बंद कमरे में ?
"
215,1,"@santoshtrivedi ढेर निपटा रहा हूँ!
"
216,1,"@santoshtrivedi हा हा हा हा हा हा हा !!
"
217,1,"@santoshtrivedi क्या बदमाशी कर दूँ ? डिलीट कर दूँ?
"
218,1,"@fursatiya  सर जी ! फिर मुआफी !
"
219,1,"@santoshtrivedi jay  ho
"
220,1,"समझ नहीं आ रहा कि  इतने ढेर को कैसे निपटाऊं? रीडर , मेलबाक्स ! सब ठसाठस !
"
221,1,"@shrish पहले कुछ स्मैकिये वाल डीपी  उखाड़ ले गए ...फिर केबल फाल्ट !
"
222,1,"@shrish ठीक कहा आपने जनवरी मध्य से अब तक ब्राड-बैंड के नक्षत्र ठीक नहीं चल रहे !
"
223,1,"now back 2 virtual world! via bb@bsnl
"
224,1,"@nityanaths in india?
"
225,1,"Mking a relation is v simpl bt keping it is very difficlt. If i fail anytym,give me grace mrks n promot me,coz i dnt wnt2 lose u. I mean it
"
226,1,"ad: Easy-to-use online project management for Startups - 30 days free trial, from 9€ per month http://j.mp/cWzmBv #planio #redmine
"
227,1,"It is Possible to Cross a Ocean without Wetting Legs ""But"" It is Impossible to Cross the Life without Wetting the Eyes""
"
228,1,"""Manushya ki asal sampada uska vyaktitv hai. Aisa.....Vyaktitv laoon kahan se?""
"
229,1,"@gyandutt @sanjaybengani  dronacharya ki pulse-polio ke naam par khichaai! nice!
"
230,1,"@akravi  my best wishes!
"
231,1,"ladte bhidte 6 sal ho gaye.....! jay ho!
"
232,1,"♥..........♥.........♥.........♥.........♥
"
233,1,"@rcmishra .....oh!  ♥..........♥.........♥.........♥.........♥
"
234,1,"@Himaanshu @girijeshrao  खम्भे जैसी खड़ी है http://is.gd/8kwFQ अच्छी प्रविष्टि!
"
235,1,"Internet ki talash me bhatakati aatma bana hua hun? Mobile se apni internet ki pyas bujhane ki asafal koshish .......... Good Morning!
"
236,1,"ad: Create your own location based social network .
"
237,1,"http://j.mp/czZpGK
"
238,1,"good morning !!!!
"
239,1,"@amitgupta MP/O.ZOOM ko chod kar FS15  aur TZ15 me kya koi aur antar ?
"
240,1,"@mishrashiv @aojha Goaaaaaa!!! -------&gt; kyaaaaaaaa  Matlabbbbbbbbb .......?????? :-)
"
241,1,"आपको और आपके परिवार को महाशिवरात्रि की बधाई !!
"
242,1,"आपको और आपके परिवार को महाशिवरात्रि की बधाई !!!
"
243,1,"@santoshtrivedi || ॐ नमः शिवाय || OM NAMAH SHIVAY
"
244,1,"|| ॐ नमः शिवाय || || ॐ नमः शिवाय |||| ॐ नमः शिवाय ||
"
245,1,"@aojha what a analysis abt @gyandutt ji and @mishrashiv ji  100 % sahmat!
"
246,1,"@pbengani  are ham to tanashahi chahte hain:)  kiski tanashahi yah aapke upar ?....... par ham aapke sath nahin :)
"
247,1,"@santoshtrivedi bb  abhi bhi dher! jay ho!
"
248,1,"@drprabhattandon damiyama and avena something  homeopathic sex tonic ?
"
249,2,"off 2 bed now, sleep well all, sweet dreams, nite nite xxxx
"
250,2,"Well B has had 3 good meals 2day including 2 lots of tea!!! Thank god she started eating again!! ☺ xxxx
"
251,2,"Card I just made my mum 4 her bday  http://tweetphoto.com/11674291
"
252,2,"thats dinner done and dusted lol!!! spaghetti Carbonara!!! yum not v good 4 waistline though lol xxxx
"
253,2,"Just got this Nature custom background for my profile. Create it at http://www.wishafriend.com/twitter/backgrounds/custom/
"
254,2,"The shelter pre painted  http://tweetphoto.com/11666077
"
255,2,"RJ doing her paper mache shelter  http://tweetphoto.com/11666040
"
256,2,"@tracytwit2you bless how is he now? B still got really bad cough
"
257,2,"The true meaning of serving others may be on your mind now. Pe... More for Virgo http://twittascope.com/twittascope/?sign=6
"
258,2,"@nomisonline wish I could my girls would luv it ☹
"
259,2,"Morning peeps how's u? Think I might have 2 do paper mache w/ RJ 2day gotta build an anderson shelter!!! shld b fun!!! Watch ths space lol x
"
260,2,"Right off 2 bed now peeps, take care, sleep well, sweet dreams!!! Nite nite ✗✗✗✗
"
261,2,"@Thunder_God bit posher then mine lol
"
262,2,"@DanHKett im watching torchwood lol
"
263,2,"think i must b the only one NOT watching the britts lol xxxx
"
264,2,"@DanHKett ah bless good luck em
"
265,2,"@corinacorinauk that is gorgeous!!! I want it!!!
"
266,2,"Happy pancake day xxx http://tweetphoto.com/11594712
"
267,2,"Girls bk peace gone & house recked!!! Off 2 do some tossing!! XxxX
"
268,2,"I am all home alone!!!! Girls out, hubby gone up chippy!!! God this is wierd and strange, dunno what 2 do lol xxxx
"
269,2,"@heatworld mmmmmm so scrummy!!!!! Thanx x
"
270,2,"Girls gone...... God it is soooo quiet 4gotten what that was lol!!! XxxX
"
271,2,"Just waiting 4 girls 2 go out 4 a meal with my mum 4 her bday!! We having chips from chippy instead!!! XxX
"
272,2,"@tracytwit2you I never!! I do a gary rhodes one u put melted butter in the batter and its yummy!! Let me know if u want recipe
"
273,2,"@MRMIKEYGRAHAM good luck hope it goes well x
"
274,2,"@tracytwit2you bless poor little thing! H8 poorly kids!! Bih hug hope he gets well soon
"
275,2,"@tracytwit2you bless B has had a nasty cough for about a week don't know whether 2 take her docs! Hope he gets better soon
"
276,2,"A big-hearted angel could enter your life now, bringing love, ... More for Virgo http://twittascope.com/twittascope/?sign=6
"
277,2,"@Thunder_God wld u B saying sit on her & telling her 2 move if she was a bloke or is ig coz she a woman? She shouldn't have nicked ur seat
"
278,2,"@RedMummy good morning
"
279,2,"@Thunder_God now what would u have done if it was a bloke all of u????
"
280,2,"Happy 70th Birthday 2 my mum 4 2day!!! XxX
"
281,2,"@AndySawford it is learnt from parents and people around it!! We teach discrimination!!! People r not born with it how can they!!!
"
